business_name,address,phone,category,place_id,rating,review_count,photo_1,photo_2,photo_3,reviews_json,hours_json,price_level,google_maps_url,lat,lng,notes
Ivy Nails,"1189 N Main St, Tooele, UT 84074, USA",(435) 882-9915,nail salon,web-tooele-ivy-nails,3.8,201,,,,"[{""author"":""Molly"",""rating"":5,""text"":""I love these ladies, especially Amy. She is so sweet and can literally duplicate anything you find on the internet."",""time"":""""}]","[""Monday: 9:30 AM – 7:00 PM"",""Tuesday: 9:30 AM – 7:00 PM"",""Wednesday: 9:30 AM – 7:00 PM"",""Thursday: 9:30 AM – 7:00 PM"",""Friday: 9:30 AM – 7:00 PM"",""Saturday: 9:30 AM – 6:00 PM"",""Sunday: Closed""]",,,,,Books through Fresha/Booksy; no owned site.
El Green Burrito,"162 N Main St, Tooele, UT 84074, USA",(435) 882-5031,restaurant,web-tooele-el-green-burrito,4.5,562,,,,,"[""Monday: 10:00 AM – 9:00 PM"",""Tuesday: 10:00 AM – 9:00 PM"",""Wednesday: 10:00 AM – 9:00 PM"",""Thursday: 10:00 AM – 9:00 PM"",""Friday: 10:00 AM – 9:00 PM"",""Saturday: 10:00 AM – 9:00 PM"",""Sunday: 10:00 AM – 8:00 PM""]",,,,,Re-verified 2026-08-08: Facebook only. A Google reviewer publicly wished they had an actual website. Use that on the call.
Hometown Bakery & Grocery,"99 N Broadway St, Tooele, UT 84074, USA",(435) 882-0874,bakery,web-tooele-hometown-bakery-grocery,,16,,,,"[{""author"":""Customer"",""rating"":5,""text"":""Love this place been going here for the mannys special for over 20 years best sandwiches and hot links"",""time"":""""},{""author"":""Customer"",""rating"":5,""text"":""Order a sandwich, you won't regret it they're amazing. The staff is also very friendly."",""time"":""""},{""author"":""Customer"",""rating"":5,""text"":""Historic small grocer and bakery. I recommend you grab a hot link here"",""time"":""""}]","[""Monday: 8:00 AM – 10:00 PM"",""Tuesday: 8:00 AM – 10:00 PM"",""Wednesday: 8:00 AM – 10:00 PM"",""Thursday: 8:00 AM – 10:00 PM"",""Friday: 8:00 AM – 10:00 PM"",""Saturday: 8:00 AM – 10:00 PM"",""Sunday: 8:00 AM – 10:00 PM""]",,,,,"Historic local institution, Facebook 100% recommend, open 7 days."
Begay's Navajo Tacos,"Grantsville, UT 84029, USA",(435) 830-7824,food truck,web-tooele-begay-s-navajo-tacos,,,,,,,,,,,,Food truck; presence is Facebook + Instagram only.
JR Roofing & Construction,"Grantsville, UT 84029, USA",(801) 706-1677,roofing,web-tooele-jr-roofing-construction,,,,,,,,,,,,"20+ years experience, formerly Jackson Roofing. FB + KSL Classifieds only."
Russell Welding Corporation,"1665 Progress Way, Tooele, UT 84074, USA",(435) 882-6359,welding,web-tooele-russell-welding-corporation,4.6,11,,,,"[{""author"":""Carie"",""rating"":5,""text"":""My dad brought down a project and this company was amazing!!!!! Great customer service!!!!!"",""time"":""""},{""author"":""Customer"",""rating"":5,""text"":""High quality work at a reasonable price. Would highly recommend."",""time"":""""}]","[""Monday: 8:00 AM – 5:00 PM"",""Tuesday: 8:00 AM – 5:00 PM"",""Wednesday: 8:00 AM – 5:00 PM"",""Thursday: 8:00 AM – 5:00 PM"",""Friday: 8:00 AM – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,,,"Founded 1982. ANGLE: their old site russellweldingcorp.com is DEAD (does not load). Say: your old website is gone, I can have a new one up this week."
Pete's Service Shop,"548 S 50 W, Tooele, UT 84074, USA",(435) 882-4614,appliance repair,web-tooele-pete-s-service-shop,,,,,,"[{""author"":""Customer"",""rating"":5,""text"":""Honest and fast."",""time"":""""}]",,,,,,"Dryer, stove, oven, ice maker, vacuum repair."
A PM Plumber,"797 Valley View Dr, Tooele, UT 84074, USA",(435) 840-2525,plumber,web-tooele-a-pm-plumber,,,,,,"[{""author"":""Patrick"",""rating"":5,""text"":""Referred Devan Lawson at PM Plumber - friendly, does good work, is not expensive, and works evenings."",""time"":""""}]",,,,,,Works evenings - good differentiator for the site.
R & B Plumbing,"427 Noble Rd, Tooele, UT 84074, USA",(435) 882-2857,plumber,web-tooele-r-b-plumbing,,,,,,,,,,,,FB page + directory listings only.
Hometown Plumbing LLC,"762 Ericson Rd, Tooele, UT 84074, USA",(435) 830-8748,plumber,web-tooele-hometown-plumbing-llc,4.7,16,,,,"[{""author"":""Carina"",""rating"":5,""text"":""Honest, Courteous and Professional... prompt, thorough, friendly, professional"",""time"":""""}]","[""Monday: 9:00 AM – 5:00 PM"",""Tuesday: 9:00 AM – 5:00 PM"",""Wednesday: 9:00 AM – 5:00 PM"",""Thursday: 9:00 AM – 5:00 PM"",""Friday: 9:00 AM – 5:00 PM"",""Saturday: 9:00 AM – 5:00 PM"",""Sunday: Closed""]",,,,,"Best plumber lead: 4.7 stars, 16 reviews, open Saturdays."
Bulldog Plumbing and Handy Service,"Tooele, UT 84074, USA",(801) 209-1993,plumber,web-tooele-bulldog-plumbing-and-handy-service,3.0,2,,,,"[{""author"":""Michael"",""rating"":5,""text"":""Mike is honest, fair, and first class in providing quality..."",""time"":""""}]",,,,,,Low rating (3.0/2 reviews) - lower priority call.
Beyond Connected LLC,"794 E 890 N, Tooele, UT 84074, USA",(435) 840-4980,electrician,web-tooele-beyond-connected-llc,5.0,1,,,,"[{""author"":""Jed"",""rating"":5,""text"":""Professional, affordable, on time and communication is amazing! Will definitely be using again!"",""time"":""""}]","[""Monday: 9:00 AM – 5:00 PM"",""Tuesday: 9:00 AM – 5:00 PM"",""Wednesday: 9:00 AM – 5:00 PM"",""Thursday: 9:00 AM – 5:00 PM"",""Friday: 9:00 AM – 5:00 PM"",""Saturday: Closed"",""Sunday: Closed""]",,,,,Est. 2017. Smart home / custom lighting specialty - great site angle.
N&J Handyman Services,"Tooele, UT, USA",(801) 919-5108,handyman,web-tooele-n-j-handyman-services,5.0,,,,,"[{""author"":""Customer"",""rating"":5,""text"":""N and J handyman services is a lifesaver. Jerry was quick, precise, knowledgeable, clean, and on..."",""time"":""""}]",,,,,,Yelp profile only.
JDI Handyman,"Tooele, UT 84074, USA",(435) 241-9752,handyman,web-tooele-jdi-handyman,,,,,,,"[""Monday: 5:00 AM – 8:00 PM"",""Tuesday: 5:00 AM – 8:00 PM"",""Wednesday: 5:00 AM – 8:00 PM"",""Thursday: 5:00 AM – 8:00 PM"",""Friday: 5:00 AM – 8:00 PM"",""Saturday: 6:00 AM – 9:00 PM"",""Sunday: 6:00 AM – 9:00 PM""]",,,,,Their jdihandyman.net domain is dead (does not resolve) - easy talking point. Email JDIHandymanlc@gmail.com.
Go Forty Handyman,"345 N Coleman St, Tooele, UT 84074, USA",(801) 349-6333,handyman,web-tooele-go-forty-handyman,,,,,,,,,,,,"Drywall, doors, drip irrigation, gate welding. ASL proficient. Takes Venmo/PayPal/cards."
One Stop Builders,"368 E Ventura Blvd, Stansbury Park, UT 84074, USA",(562) 507-7661,general contractor,web-tooele-one-stop-builders,,,,,,,,,,,,"Basements, bathrooms, kitchens, decks, custom homes. Houzz + FB + BBB only."
